,namePlayer,value,age,HEIGHT,WEIGHT,PTS,AST,REB,PIE,heightWOShoesInches,weightLBS,wingspanInches,reachStandingInches,verticalLeapStandingInches,verticalLeapMaxInches,timeLaneAgility,timeThreeQuarterCourtSprint,repsBenchPress135,pctBodyFat,heightWShoesInches,lengthHandInches,widthHandInches,timeModifiedLaneAgility
435,CJ McCollum,29354152.0,31.0,75.0,190.0,23.8,4.3,3.8,0.131,74.25,197.0,78.25,96.5,32.0,38.5,11.02,3.32,13.0,8.6,75.25,8.0,9.5,2.91
436,Damian Lillard,31626953.0,32.0,74.0,195.0,30.1,7.7,4.4,0.165,73.75,188.8,79.75,95.5,34.5,39.5,11.15,3.34,13.0,5.9,74.75,8.75,9.75,
437,Derrick Jones,9258000.0,,,,,,,,,,,,,,,,,,,,,
438,Enes Kanter,5005350.0,30.0,82.0,250.0,12.1,1.3,11.6,0.137,81.75,259.2,85.5,109.5,26.0,32.5,11.3,3.26,14.0,5.9,83.25,9.5,10.75,
439,Harry Giles,1620564.0,,,,,,,,81.25,232.0,87.25,109.5,27.0,32.5,11.08,3.34,5.0,5.2,82.5,9.5,10.75,3.0
440,Jusuf Nurkic,12888889.0,28.0,83.0,290.0,9.8,2.8,7.7,0.103,,,,,,,,,,,,,,
441,Nassir Little,2210640.0,22.0,77.0,220.0,5.3,0.4,2.6,0.074,76.5,224.2,85.25,104.5,31.0,38.5,12.15,3.24,5.0,5.9,78.0,8.75,10.0,3.1
442,Norman Powell,10865952.0,29.0,75.0,215.0,19.5,1.8,3.0,0.106,75.0,215.4,82.75,102.5,32.5,40.5,10.69,3.2,5.0,6.4,76.25,9.25,9.0,3.2
443,Robert Covington,12138345.0,31.0,79.0,209.0,8.6,1.7,6.7,0.073,78.25,208.6,85.75,106.0,29.5,36.0,11.69,3.34,9.0,4.7,79.5,9.0,8.5,3.1
444,Zach Collins,5406255.0,24.0,83.0,250.0,7.0,1.5,6.3,0.054,82.25,232.2,85.0,111.0,,,,,,8.9,84.0,8.75,9.25,
445,Buddy Hield,24701834.0,29.0,76.0,220.0,16.9,3.3,4.6,0.078,75.75,212.4,81.25,101.0,,,,,,6.1,77.0,8.5,9.0,
446,Chimezie Metu,50000.0,25.0,81.0,225.0,3.4,0.5,2.1,0.094,80.5,219.6,84.5,108.0,29.5,36.0,11.89,3.33,5.0,5.05,81.5,9.0,9.25,3.25
447,Chris Silva,1517981.0,26.0,80.0,234.0,2.7,0.5,2.3,0.077,,,,,,,,,,,,,,
448,De'Aaron Fox,8099627.0,24.0,75.0,185.0,23.8,7.4,3.4,0.116,,,,,,,,,,,,,,
449,Delon Wright,9000000.0,30.0,77.0,185.0,10.5,5.1,4.6,0.119,76.25,181.4,79.5,101.5,29.5,31.0,11.16,3.29,4.0,6.6,77.5,8.0,8.5,3.5
450,Glenn Robinson III,930930.0,28.0,78.0,222.0,5.3,0.9,2.0,0.057,77.5,211.4,82.0,100.5,36.5,41.5,11.22,3.15,,5.05,78.75,9.0,9.5,3.04
451,Harrison Barnes,22215909.0,30.0,80.0,225.0,16.3,3.7,6.5,0.111,79.0,227.8,83.25,101.5,38.0,39.5,10.93,3.16,15.0,9.6,80.0,9.0,8.5,
452,Hassan Whiteside,1620564.0,33.0,84.0,265.0,8.0,0.6,5.8,0.118,82.5,226.6,91.0,113.0,27.0,31.5,11.83,3.54,12.0,5.5,83.5,8.25,10.25,
453,Jabari Parker,6500000.0,27.0,80.0,245.0,2.7,0.3,2.0,0.037,,,,,,,,,,,,,,
454,Jahmi'us Ramsey,1000000.0,,,,,,,,74.5,193.4,78.0,100.5,,,,,,3.4,75.7,8.75,9.75,
455,Justin James,1517981.0,25.0,79.0,190.0,2.1,0.5,0.5,0.051,,,,,,,,,,,,,,
456,Marvin Bagley III,8963640.0,23.0,83.0,235.0,13.9,0.9,7.4,0.095,,,,,,,,,,,,,,
457,Maurice Harkless,3623000.0,29.0,79.0,220.0,1.4,0.6,1.2,0.023,79.25,206.6,84.0,102.5,32.5,37.0,10.87,3.25,5.0,5.3,80.75,9.25,10.25,
458,Mfiondu Kabengele,2075880.0,25.0,81.0,250.0,1.2,0.2,0.6,0.003,80.75,256.2,87.0,109.5,28.0,35.5,11.21,3.25,6.0,5.1,82.25,9.25,10.75,3.3
459,Norvel Pelle,99020.0,29.0,82.0,231.0,2.3,0.3,2.0,-0.012,81.5,207.2,86.5,109.0,31.0,34.5,11.49,3.32,0.0,5.15,82.5,8.75,9.5,3.2
460,Richaun Holmes,5005350.0,29.0,82.0,235.0,13.9,1.8,8.8,0.119,80.25,242.8,85.5,108.0,32.5,36.0,11.24,3.32,15.0,8.8,81.5,8.5,8.5,3.31
461,Robert Woodard II,1500000.0,,,,,,,,77.5,230.2,86.0,105.5,32.0,38.0,11.1,3.18,,4.5,79.0,9.0,10.75,2.49
462,Terence Davis,1517981.0,25.0,76.0,201.0,7.0,1.1,2.0,0.075,75.0,192.4,80.75,101.0,29.5,34.0,10.69,3.28,13.0,4.1,76.5,9.25,10.75,2.96
463,Tyrese Haliburton,3831840.0,,,,,,,,,,,,,,,,,,,,,
464,Cameron Reynolds,110998.0,27.0,79.0,225.0,5.0,0.7,1.6,,,,,,,,,,,,,,,
465,Dejounte Murray,14286000.0,26.0,76.0,180.0,15.6,5.1,7.0,0.125,,,,,,,,,,,,,,
466,DeMar DeRozan,27739975.0,33.0,78.0,220.0,20.6,7.4,4.5,0.144,77.5,211.2,81.0,102.5,29.0,38.5,11.88,3.31,5.0,4.9,78.5,,,
467,DeMarre Carroll,6119676.0,36.0,78.0,215.0,8.9,1.3,4.2,,78.25,207.2,82.0,105.0,,,,,,6.3,79.75,,,
468,Derrick White,3516284.0,28.0,76.0,190.0,12.8,3.4,2.4,0.076,75.25,189.8,79.5,101.5,31.0,36.5,10.84,3.08,10.0,6.2,76.5,8.25,8.5,2.92
469,Devin Vassell,4033440.0,,,,,,,,,,,,,,,,,,,,,
470,Drew Eubanks,1620564.0,25.0,81.0,245.0,4.6,0.9,3.2,0.089,,,,,,,,,,,,,,
471,Gorgui Dieng,1000000.0,32.0,82.0,252.0,7.9,1.3,4.5,0.124,81.75,229.6,87.5,111.5,,,,,,5.35,82.75,9.0,10.0,
472,Jakob Poeltl,8101852.0,27.0,85.0,245.0,7.1,1.8,7.8,0.099,84.25,239.0,86.75,111.5,,,,,,5.8,85.0,9.25,10.25,
473,Keldon Johnson,2048040.0,23.0,77.0,220.0,13.9,2.0,6.5,0.1,76.75,216.4,81.25,104.0,,,,,,5.6,78.0,8.0,9.25,
474,LaMarcus Aldridge,16750000.0,37.0,83.0,250.0,13.7,1.7,4.5,0.096,82.0,234.0,88.75,110.0,26.5,34.0,12.02,3.43,8.0,8.7,83.25,,,
475,Lonnie Walker,2892000.0,,,,,,,,75.75,196.2,82.25,99.5,31.5,40.0,10.87,3.06,12.0,5.65,76.5,9.0,9.5,2.91
476,Luka Samanic,2824320.0,22.0,82.0,227.0,3.8,0.2,2.5,0.077,81.5,227.2,82.5,107.0,27.0,38.0,11.01,3.27,7.0,5.6,83.0,8.5,9.0,3.03
477,Marquese Chriss,1824003.0,25.0,81.0,240.0,6.5,1.0,6.5,0.11,80.75,233.0,84.25,105.0,32.5,38.5,11.93,3.26,,8.5,82.0,9.0,9.0,3.05
478,Patty Mills,13535714.0,34.0,73.0,180.0,12.9,2.5,1.8,0.095,71.25,175.4,74.0,95.0,27.5,33.0,10.87,3.1,8.0,6.9,72.5,,,
479,Rudy Gay,14500000.0,36.0,80.0,250.0,10.9,1.5,4.9,0.105,79.0,222.0,87.0,107.5,33.0,40.5,11.03,3.32,9.0,5.7,80.0,,,
480,Tre Jones,898310.0,,,,,,,,,,,,,,,,,,,,,
481,Trey Lyles,5500000.0,27.0,81.0,234.0,5.0,0.6,3.8,0.1,81.0,241.2,85.5,108.0,,,,,,12.1,82.25,9.25,10.25,
482,Alex Len,2258000.0,29.0,84.0,250.0,6.1,0.9,3.6,0.099,,,87.5,,,,,,,6.4,,9.0,10.75,
483,Aron Baynes,7000000.0,35.0,82.0,260.0,6.1,0.9,5.5,0.067,,,,,,,,,,,,,,
484,Chris Boucher,6500000.0,29.0,81.0,200.0,13.8,1.0,6.4,0.134,80.0,182.2,88.0,110.5,,,,,,5.4,81.5,9.25,10.5,
485,DeAndre' Bembry,1737145.0,28.0,77.0,210.0,4.6,1.9,2.3,0.068,,,,,,,,,,,,,,
486,Donta Hall,99020.0,,,,,,,,,,,,,,,,,,,,,
487,Fred VanVleet,21250000.0,28.0,73.0,197.0,20.1,6.5,4.4,0.118,,,,,,,,,,,,,,
488,Gary Trent Jr,1663861.0,,,,,,,,,,,,,,,,,,,,,
489,Henry Ellenson,110998.0,25.0,82.0,240.0,7.5,2.5,6.0,0.106,82.0,242.0,86.25,108.0,,,,,,11.2,83.5,8.5,9.75,
490,Kyle Lowry,30500000.0,36.0,72.0,196.0,17.6,7.4,5.6,0.117,,,,,,,,,,,,,,
491,Malachi Flynn,1950600.0,,,,,,,,,,,,,,,,,,,,,
492,OG Anunoby,3872215.0,25.0,79.0,232.0,14.0,1.6,5.7,0.092,78.25,232.4,86.25,107.5,,,,,,6.8,79.75,9.25,9.5,
493,Oshae Brissett,300000.0,24.0,79.0,210.0,1.9,0.4,1.4,,,,,,,,,,,,,,,
494,Pascal Siakam,30559200.0,28.0,81.0,230.0,19.8,4.7,7.3,0.117,80.25,226.6,87.25,107.5,30.5,36.5,11.25,3.41,,5.2,81.5,9.25,10.0,3.09
495,Patrick McCaw,4000000.0,27.0,79.0,181.0,1.0,0.8,0.6,0.057,77.25,180.8,82.0,100.5,30.0,38.0,11.01,3.3,,4.7,78.75,8.75,8.75,2.97
496,Paul Watson,1445697.0,27.0,78.0,210.0,2.6,0.4,1.3,0.044,,,,,,,,,,,,,,
497,Rodney Hood,10047450.0,30.0,80.0,208.0,4.7,1.2,1.9,0.031,79.25,208.2,80.5,103.0,29.0,36.0,11.21,3.38,,7.45,80.5,8.5,8.5,3.14
498,Stanley Johnson,3804150.0,26.0,78.0,242.0,2.9,1.2,2.2,0.047,77.0,241.8,83.5,102.0,,,,,,7.5,78.5,9.0,9.0,
499,Bojan Bogdanovic,17850000.0,33.0,79.0,226.0,14.9,1.9,3.9,0.081,,,,,,,,,,,,,,
500,Derrick Favors,9258000.0,31.0,81.0,265.0,5.9,0.9,5.3,0.111,80.75,245.2,88.0,110.0,31.5,35.5,11.74,3.25,14.0,6.5,82.25,8.75,9.25,
501,Donovan Mitchell,5195501.0,26.0,73.0,215.0,25.4,5.5,4.6,0.127,73.25,211.4,82.0,97.0,36.5,40.5,11.53,3.01,10.0,5.9,75.0,8.5,9.5,3.07
502,Elijah Hughes,898310.0,,,,,,,,76.75,229.0,79.5,101.5,,,,,,10.2,78.5,8.5,8.75,
503,Ersan Ilyasova,754783.0,35.0,81.0,235.0,0.0,1.0,0.0,0.0,79.75,208.8,85.25,109.5,22.0,30.0,11.59,3.56,2.0,,81.0,,,
504,Georges Niang,1783557.0,29.0,79.0,230.0,5.0,0.7,2.2,0.061,78.75,230.8,82.0,103.0,25.0,31.0,11.64,3.49,,10.05,80.5,9.25,9.25,3.17
505,Joe Ingles,10863637.0,35.0,80.0,220.0,12.3,4.2,3.6,0.123,79.75,209.2,82.25,105.0,26.0,31.0,10.66,3.3,3.0,10.1,80.25,,,
506,Jordan Clarkson,11500000.0,30.0,76.0,194.0,17.5,2.2,3.9,0.116,75.25,186.3,80.0,98.0,33.0,38.5,10.76,3.28,,4.3,77.0,8.25,9.0,2.98
507,Juwan Morgan,1517981.0,25.0,79.0,232.0,0.9,0.2,0.8,0.035,,,,,,,,,,,,,,
