,OFFICIAL_ID,FIRST_NAME,LAST_NAME,JERSEY_NUM,GAME_ID
9647,1165,Luis,Grillo,8,0020500629
9648,1161,Joe,Forte,45,0020500629
9649,1200,Greg,Willard,57,0020500628
9650,1156,Tim,Donaghy,21,0020500628
9651,1169,Anthony,Jordan,37,0020500628
9652,1148,James,Capers,19,0020500622
9653,1147,Mike,Callahan,24,0020500622
9654,2002,Derrick,Collins,54,0020500622
9655,1199,Tom,Washington,49,0020500631
9656,1151,Sean,Corbin,33,0020500631
9657,2883,Robbie,Robinson,53,0020500631
9658,1167,Steve,Javie,29,0020500626
9659,1168,David,Jones,36,0020500626
9660,2716,Olandis,Poole,50,0020500626
9661,1363,Bennie,Adams,47,0020500630
9662,1164,Ron,Garretson,10,0020500630
9663,2148,Mark,Ayotte,56,0020500630
9664,1162,Scott,Foster,48,0020500627
9665,2147,Michael,Henderson,62,0020500627
9666,1204,Derek,Richardson,63,0020500627
9667,1662,Bill,Kennedy,55,0020500624
9668,1159,Kevin,Fehr,39,0020500624
9669,1142,Dick,Bavetta,27,0020500624
9670,2882,Sean,Wright,65,0020500621
9671,1830,Marc,Davis,34,0020500621
9672,1192,Bennett,Salvatore,15,0020500621
9673,1826,Jess,Kersey,20,0020500623
9674,1174,Ken,Mauer,41,0020500623
9675,2534,Zach,Zarba,58,0020500623
9676,2001,Jason,Phillips,23,0020500619
9677,1153,Joe,Crawford,17,0020500619
9678,1189,Phil,Robinson,11,0020500619
9679,1195,Derrick,Stafford,9,0020500636
9680,1179,Rodney,Mott,71,0020500636
9681,2003,Pat,Fraher,52,0020500636
9682,1188,Leroy,Richardson,51,0020500637
9683,1165,Luis,Grillo,8,0020500637
9684,1190,Eddie,Rush,32,0020500637
9685,1203,Mark,Wunderlich,18,0020500633
9686,2532,Eli,Roe,64,0020500633
9687,1154,Bob,Delaney,26,0020500633
9688,1194,Bill,Spooner,22,0020500635
9689,2529,Tony,Brown,30,0020500635
9690,1662,Bill,Kennedy,55,0020500635
9691,1199,Tom,Washington,49,0020500638
9692,2883,Robbie,Robinson,53,0020500638
9693,1198,Scott,Wall,31,0020500638
9694,1363,Bennie,Adams,47,0020500639
9695,1164,Ron,Garretson,10,0020500639
9696,2148,Mark,Ayotte,56,0020500639
9697,1193,Michael,Smith,38,0020500634
9698,1201,Leon,Wood,40,0020500634
9699,1152,Dan,Crawford,43,0020500634
9700,1200,Greg,Willard,57,0020500640
9701,1169,Anthony,Jordan,37,0020500640
9702,1156,Tim,Donaghy,21,0020500640
9703,2147,Michael,Henderson,62,0020500632
9704,1147,Mike,Callahan,24,0020500632
9705,1148,James,Capers,19,0020500632
9706,1176,Monty,McCutchen,13,0020500643
9707,1167,Steve,Javie,29,0020500643
9708,1664,Gary,Zielinski,59,0020500643
9709,1192,Bennett,Salvatore,15,0020500645
9710,1162,Scott,Foster,48,0020500645
9711,1830,Marc,Davis,34,0020500645
9712,1159,Kevin,Fehr,39,0020500642
9713,1142,Dick,Bavetta,27,0020500642
9714,1826,Jess,Kersey,20,0020500642
9715,2002,Derrick,Collins,54,0020500646
